,everyday,quantity,forecast_quantity
215,2023-05-05,13800.0,
216,2023-05-06,14700.0,
217,2023-05-07,15480.0,
218,2023-05-08,15300.0,
219,2023-05-09,14160.0,
220,2023-05-10,12960.0,
221,2023-05-11,14580.0,
222,2023-05-12,16980.0,
223,2023-05-13,15780.0,
224,2023-05-14,15360.0,
225,2023-05-15,15360.0,
226,2023-05-16,15660.0,
227,2023-05-17,17040.0,
228,2023-05-18,15660.0,
229,2023-05-19,17400.0,
230,2023-05-20,17460.0,
231,2023-05-21,17400.0,
232,2023-05-22,16320.0,
233,2023-05-23,14100.0,
234,2023-05-24,14520.0,
235,2023-05-25,15000.0,
236,2023-05-26,15720.0,
237,2023-05-27,15360.0,
238,2023-05-28,16440.0,
239,2023-05-29,14640.0,
240,2023-05-30,14520.0,
241,2023-05-31,15660.0,
242,2023-06-01,13440.0,
243,2023-06-02,11640.0,
244,2023-06-03,14820.0,
245,2023-06-04,15900.0,
246,2023-06-05,15480.0,
247,2023-06-06,14340.0,
248,2023-06-07,15180.0,
249,2023-06-08,13980.0,
250,2023-06-09,14340.0,
251,2023-06-10,13020.0,
252,2023-06-11,12840.0,
253,2023-06-12,12360.0,
254,2023-06-13,13500.0,
255,2023-06-14,13380.0,
256,2023-06-15,13800.0,
257,2023-06-16,13920.0,
258,2023-06-17,14160.0,
259,2023-06-18,14100.0,
260,2023-06-19,13020.0,
261,2023-06-20,11820.0,
262,2023-06-21,13200.0,
263,2023-06-22,13320.0,
264,2023-06-23,12180.0,
265,2023-06-24,11820.0,
266,2023-06-25,10140.0,
267,2023-06-26,9780.0,
268,2023-06-27,15660.0,
270,2023-06-29,12840.0,
271,2023-06-30,9780.0,
272,2023-07-01,10200.0,
273,2023-07-02,10380.0,
274,2023-07-03,9720.0,
275,2023-07-04,9600.0,
276,2023-07-05,9060.0,
277,2023-07-06,7860.0,
278,2023-07-07,7140.0,
279,2023-07-08,8160.0,
280,2023-07-09,7740.0,
281,2023-07-10,9900.0,
282,2023-07-11,10860.0,
283,2023-07-12,10560.0,
284,2023-07-13,11220.0,
285,2023-07-14,9060.0,
286,2023-07-15,10860.0,
287,2023-07-16,10560.0,
288,2023-07-17,11400.0,
289,2023-07-18,8400.0,
290,2023-07-19,6120.0,
291,2023-07-20,6000.0,
292,2023-07-21,5700.0,
293,2023-07-22,5640.0,
294,2023-07-23,7680.0,
295,2023-07-24,7380.0,
296,2023-07-25,7440.0,
297,2023-07-26,6420.0,
298,2023-07-27,6000.0,
299,2023-07-28,7920.0,
300,2023-07-29,9900.0,
301,2023-07-30,9720.0,
302,2023-07-31,10380.0,
303,2023-08-01,10560.0,
304,2023-08-02,8940.0,
305,2023-08-03,7140.0,
306,2023-08-04,5460.0,
307,2023-08-05,5700.0,
308,2023-08-06,6840.0,
309,2023-08-07,6720.0,
310,2023-08-08,7620.0,
311,2023-08-09,6180.0,
312,2023-08-10,7080.0,
313,2023-08-11,7200.0,
314,2023-08-12,7740.0,
315,2023-08-13,7920.0,
316,2023-08-14,9060.0,
317,2023-08-15,8040.0,
318,2023-08-16,8100.0,
319,2023-08-17,8580.0,
320,2023-08-18,7380.0,
321,2023-08-19,6720.0,
322,2023-08-20,8100.0,8568.928682335978
323,2023-08-21,7860.0,7839.754146853251
