ds,y,forecast_quantity
21-03-2023,15540,0
22-03-2023,14940,0
23-03-2023,13200,0
24-03-2023,13620,0
25-03-2023,14340,0
26-03-2023,15000,0
27-03-2023,16440,0
28-03-2023,14640,0
29-03-2023,16260,0
30-03-2023,16140,0
31-03-2023,16980,0
01-04-2023,15240,0
02-04-2023,15420,0
03-04-2023,15360,0
04-04-2023,16020,0
05-04-2023,15900,0
06-04-2023,16680,0
07-04-2023,15240,0
08-04-2023,14280,0
09-04-2023,15420,0
10-04-2023,16740,0
11-04-2023,16920,0
12-04-2023,17880,0
13-04-2023,17340,0
14-04-2023,18420,0
15-04-2023,17100,0
16-04-2023,17580,0
17-04-2023,16800,0
18-04-2023,18300,0
19-04-2023,18780,0
22-04-2023,17460,0
23-04-2023,18120,0
24-04-2023,15720,0
25-04-2023,15960,0
26-04-2023,17040,0
27-04-2023,14220,0
28-04-2023,16020,0
29-04-2023,14400,0
30-04-2023,16740,0
01-05-2023,13860,0
02-05-2023,15960,0
03-05-2023,16140,0
04-05-2023,14640,0
05-05-2023,13800,0
06-05-2023,14700,0
07-05-2023,15480,0
08-05-2023,15300,0
09-05-2023,14160,0
10-05-2023,12960,0
11-05-2023,14580,0
12-05-2023,16980,0
13-05-2023,15780,0
14-05-2023,15360,0
15-05-2023,15360,0
16-05-2023,15660,0
17-05-2023,17040,0
18-05-2023,15660,0
19-05-2023,17400,0
20-05-2023,17460,0
21-05-2023,17400,0
22-05-2023,16320,0
23-05-2023,14100,0
24-05-2023,14520,0
25-05-2023,15000,0
26-05-2023,15720,0
27-05-2023,15360,0
28-05-2023,16440,0
29-05-2023,14640,0
30-05-2023,14520,0
31-05-2023,15660,0
01-06-2023,13440,0
02-06-2023,11640,0
03-06-2023,14820,0
04-06-2023,15900,0
05-06-2023,15480,0
06-06-2023,14340,0
07-06-2023,15180,0
08-06-2023,13980,0
09-06-2023,14340,0
10-06-2023,13020,0
11-06-2023,12840,0
12-06-2023,12360,0
13-06-2023,13500,0
14-06-2023,13380,0
15-06-2023,13800,0
16-06-2023,13920,0
17-06-2023,14160,0
18-06-2023,14100,0
19-06-2023,13020,0
20-06-2023,11820,0
21-06-2023,13200,0
22-06-2023,13320,0
23-06-2023,12180,0
24-06-2023,11820,0
25-06-2023,10140,0
26-06-2023,9780,0
27-06-2023,15660,0
29-06-2023,12840,0
30-06-2023,9780,0
01-07-2023,10200,0
02-07-2023,10380,0
03-07-2023,9720,0
04-07-2023,9600,0
05-07-2023,9060,0
06-07-2023,7860,0
07-07-2023,7140,0
08-07-2023,8160,0
09-07-2023,7740,0
10-07-2023,9900,0
11-07-2023,10860,0
12-07-2023,10560,0
13-07-2023,11220,0
14-07-2023,9060,0
15-07-2023,10860,0
16-07-2023,10560,0
17-07-2023,11400,0
18-07-2023,8400,0
19-07-2023,6120,0
20-07-2023,6000,0
21-07-2023,5700,0
22-07-2023,5640,0
23-07-2023,7680,0
24-07-2023,7380,0
25-07-2023,7440,0
26-07-2023,6420,0
27-07-2023,6000,0
28-07-2023,7920,0
29-07-2023,9900,0
30-07-2023,9720,0
31-07-2023,10380,0
01-08-2023,10560,0
02-08-2023,8940,0
03-08-2023,7140,0
04-08-2023,5460,0
05-08-2023,5700,0
06-08-2023,6840,0
07-08-2023,6720,0
08-08-2023,7620,0
09-08-2023,6180,0
10-08-2023,7080,0
11-08-2023,7200,0
12-08-2023,7740,0
13-08-2023,7920,0
14-08-2023,9060,0
15-08-2023,8040,0
16-08-2023,8100,0
17-08-2023,8580,0
18-08-2023,7380,0
19-08-2023,6720,0
20-08-2023,8100,0
21-08-2023,7860,0
22-08-2023,0,15959.15658
23-08-2023,0,10859.14021
24-08-2023,0,5574.213432
25-08-2023,0,5367.878406
26-08-2023,0,5862.673842
27-08-2023,0,5977.760302
28-08-2023,0,5859.842688
29-08-2023,0,5630.633635
30-08-2023,0,5185.372688
31-08-2023,0,4887.805707
01-09-2023,0,4681.47068
02-09-2023,0,5176.266117
03-09-2023,0,5291.352577
04-09-2023,0,5173.434962
05-09-2023,0,4944.225909
06-09-2023,0,4498.964962
07-09-2023,0,4201.397981
08-09-2023,0,3995.062955
09-09-2023,0,4489.858391
10-09-2023,0,4604.944851
11-09-2023,0,4487.027237
12-09-2023,0,4257.818184
13-09-2023,0,3812.557237
14-09-2023,0,3514.990256
15-09-2023,0,3308.655229
16-09-2023,0,3803.450666
17-09-2023,0,3918.537126
18-09-2023,0,3800.619511
19-09-2023,0,3571.410458
20-09-2023,0,3126.149511
21-09-2023,0,2828.58253
22-09-2023,0,2622.247504
23-09-2023,0,3117.04294
24-09-2023,0,3232.1294
25-09-2023,0,3114.211786
26-09-2023,0,2885.002733
27-09-2023,0,2439.741786
28-09-2023,0,2142.174805
29-09-2023,0,1935.839778
30-09-2023,0,2430.635215
01-10-2023,0,2545.721675
02-10-2023,0,2427.80406
03-10-2023,0,2198.595007
04-10-2023,0,1753.33406
05-10-2023,0,1455.767079
06-10-2023,0,1249.432053
07-10-2023,0,1744.227489
08-10-2023,0,1859.313949
09-10-2023,0,1741.396335
10-10-2023,0,1512.187282
11-10-2023,0,1066.926335
12-10-2023,0,769.3593536
13-10-2023,0,563.0243273
14-10-2023,0,1057.819764
15-10-2023,0,1172.906224
16-10-2023,0,1054.988609
17-10-2023,0,825.7795563
18-10-2023,0,380.5186092
19-10-2023,0,82.95162812
20-10-2023,0,-123.3833982
21-10-2023,0,371.4120381
22-10-2023,0,486.4984984
23-10-2023,0,368.5808836
24-10-2023,0,139.3718308
25-10-2023,0,-305.8891163
26-10-2023,0,-603.4560974
27-10-2023,0,-809.7911237
28-10-2023,0,-314.9956874
29-10-2023,0,-199.9092271
30-10-2023,0,-317.8268419
31-10-2023,0,-547.0358947
01-11-2023,0,-992.2968418
02-11-2023,0,-1289.863823
03-11-2023,0,-1496.198849
04-11-2023,0,-1001.403413
05-11-2023,0,-886.3169526
06-11-2023,0,-1004.234567
07-11-2023,0,-1233.44362
08-11-2023,0,-1678.704567
09-11-2023,0,-1976.271548
10-11-2023,0,-2182.606575
11-11-2023,0,-1687.811138
12-11-2023,0,-1572.724678
13-11-2023,0,-1690.642293
14-11-2023,0,-1919.851346
15-11-2023,0,-2365.112293
16-11-2023,0,-2662.679274
17-11-2023,0,-2869.0143
18-11-2023,0,-2374.218864
19-11-2023,0,-2259.132404
